age,capital_gain,capital_loss,education,education_num,fnlwgt,hours_per_week,marital_status,native_country,occupation,race,relationship,sex,workclass,target
26,0,0,Some-college,10,211265,35,Married-spouse-absent,Dominican-Republic,Craft-repair,Black,Other-relative,Female,Private,0
42,0,0,HS-grad,9,307638,40,Divorced,United-States,Adm-clerical,White,Own-child,Female,Private,0
53,0,0,Masters,14,181755,35,Divorced,United-States,Prof-specialty,White,Not-in-family,Female,Local-gov,1
19,0,0,Some-college,10,52372,20,Never-married,United-States,Other-service,White,Own-child,Male,Private,0
68,0,0,Bachelors,13,339168,30,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private,0
48,0,0,Some-college,10,121124,35,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,1
20,0,0,Some-college,10,116666,8,Never-married,India,Sales,Asian-Pac-Islander,Own-child,Male,Private,0
19,0,0,Assoc-voc,11,206874,40,Never-married,United-States,Adm-clerical,Black,Own-child,Female,Private,0
43,0,0,Some-college,10,180985,60,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private,1
31,3325,0,Assoc-acdm,12,188900,35,Never-married,United-States,Adm-clerical,White,Not-in-family,Female,State-gov,0
35,4064,0,Some-college,10,126569,40,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,0
46,0,0,HS-grad,9,159869,44,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private,0
48,0,0,Bachelors,13,209057,50,Married-spouse-absent,United-States,Sales,White,Own-child,Male,Self-emp-not-inc,1
33,0,0,HS-grad,9,80058,48,Never-married,United-States,Other-service,White,Own-child,Male,Private,0
29,0,0,Assoc-voc,11,135296,40,Never-married,United-States,Adm-clerical,White,Own-child,Female,Private,0
30,0,2051,Some-college,10,84119,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,0
20,0,0,Some-college,10,196643,20,Never-married,United-States,Other-service,White,Own-child,Male,Private,0
18,0,0,HS-grad,9,236090,40,Never-married,United-States,Unknown,White,Own-child,Female,Unknown,0
21,0,0,HS-grad,9,219086,35,Never-married,United-States,Other-service,White,Own-child,Male,Private,0
44,0,0,HS-grad,9,167005,48,Married-civ-spouse,United-States,Adm-clerical,White,Husband,Male,Private,1
30,0,0,HS-grad,9,296453,35,Never-married,United-States,Craft-repair,White,Not-in-family,Male,Private,0
65,0,0,HS-grad,9,198019,35,Widowed,United-States,Unknown,White,Not-in-family,Female,Unknown,0
19,0,0,HS-grad,9,117595,24,Never-married,United-States,Other-service,White,Own-child,Male,Private,0
28,0,0,Bachelors,13,69847,30,Never-married,United-States,Adm-clerical,Asian-Pac-Islander,Own-child,Female,Private,0
52,0,0,HS-grad,9,43909,40,Divorced,United-States,Adm-clerical,Black,Unmarried,Female,Local-gov,0
55,0,1977,Masters,14,248841,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Self-emp-not-inc,1
29,0,0,HS-grad,9,274969,42,Never-married,United-States,Craft-repair,White,Unmarried,Female,Private,0
26,0,0,Some-college,10,152240,40,Never-married,United-States,Machine-op-inspct,White,Own-child,Male,Private,0
46,0,0,Bachelors,13,268022,40,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,1
50,0,0,11th,7,139296,40,Never-married,United-States,Craft-repair,White,Unmarried,Male,Local-gov,0
31,0,0,Some-college,10,303032,40,Never-married,United-States,Other-service,Black,Unmarried,Female,Private,0
22,0,0,HS-grad,9,283499,35,Never-married,United-States,Transport-moving,White,Not-in-family,Male,Private,0
42,0,0,Some-college,10,296749,45,Divorced,United-States,Machine-op-inspct,White,Not-in-family,Male,Private,0
29,0,0,Prof-school,15,41013,55,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,Federal-gov,0
67,0,0,Bachelors,13,89346,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private,1
44,0,0,HS-grad,9,113324,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,0
35,5013,0,HS-grad,9,112077,40,Married-civ-spouse,United-States,Handlers-cleaners,White,Husband,Male,Private,0
34,0,0,Assoc-acdm,12,168906,35,Divorced,United-States,Adm-clerical,White,Own-child,Female,Private,0
27,0,0,Some-college,10,41099,50,Never-married,United-States,Sales,White,Not-in-family,Male,Private,0
61,0,0,HS-grad,9,180632,40,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private,0
22,0,0,11th,7,187052,30,Never-married,United-States,Sales,White,Unmarried,Female,Private,0
36,0,0,HS-grad,9,29814,50,Never-married,United-States,Transport-moving,White,Other-relative,Male,Private,0
47,0,0,Masters,14,235683,40,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Private,0
26,0,0,HS-grad,9,205036,42,Never-married,United-States,Handlers-cleaners,White,Not-in-family,Male,Private,0
58,0,0,Some-college,10,261230,40,Divorced,United-States,Prof-specialty,White,Not-in-family,Female,Self-emp-not-inc,0
47,0,0,10th,6,163814,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,0
35,0,0,Bachelors,13,226311,40,Never-married,United-States,Sales,White,Not-in-family,Female,Private,0
36,0,0,Some-college,10,325374,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private,0
34,0,0,HS-grad,9,231826,40,Married-civ-spouse,El-Salvador,Prof-specialty,White,Husband,Male,Local-gov,0
37,0,0,HS-grad,9,272950,40,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private,0
