age,fare,sex,class,embark_town,alone,survived
18.0,108.9,male,First,Cherbourg,False,0
21.0,9.825,female,Third,Southampton,False,0
,108.9,,First,Cherbourg,False,1
,8.05,male,Third,Southampton,True,0
24.0,24.15,male,Third,Southampton,False,0
53.0,51.4792,female,First,Southampton,False,1
33.0,86.5,female,First,Southampton,True,1
,7.7292,male,Third,Queenstown,True,0
25.0,26.0,female,Second,Southampton,False,1
18.0,262.375,female,First,Cherbourg,False,1
21.0,10.5,female,Second,Southampton,True,1
,23.25,male,Third,Queenstown,False,1
16.0,57.9792,female,,Cherbourg,False,1
22.0,151.55,female,First,Southampton,True,1
22.0,7.8958,male,Third,Southampton,True,0
50.0,10.5,female,Second,Southampton,True,1
,7.75,male,Third,Queenstown,True,0
25.0,7.925,female,Third,Southampton,False,0
49.0,89.1042,male,First,Cherbourg,False,1
25.0,7.25,male,Third,Southampton,True,0
36.0,13.0,female,Second,Southampton,True,1
34.0,8.05,male,Third,Southampton,True,0
32.0,7.8958,male,Third,Southampton,True,0
,7.55,male,Third,Southampton,True,0
35.0,26.55,male,First,Cherbourg,True,1
2.0,39.6875,male,Third,Southampton,False,0
4.0,13.4167,female,Third,Cherbourg,False,1
,0.0,male,First,Southampton,True,0
,7.775,male,Third,Southampton,True,1
,35.0,male,,Southampton,True,0
